EmployeeID,JobLevel,Department,MonthlyIncome,,,
1,1,Sales,131160,,,
2,1,Research & Development,41890,,,
3,4,Research & Development,193280,,Sales,22974330
4,3,Research & Development,83210,,Research&Development,53502900
5,1,Research & Development,23420,,Human Resources,3259140
6,4,Research & Development,40710,,,79736370
7,2,Research & Development,58130,,,
8,2,Research & Development,31430,,,
9,3,Research & Development,20440,,286779270,
10,4,Research & Development,134640,,,
11,2,Research & Development,79910,,,
12,1,Research & Development,33770,,,
13,1,Research & Development,55380,,,
14,1,Research & Development,57620,,,
15,1,Research & Development,25920,,,
16,2,Research & Development,53460,,,
17,1,Research & Development,42130,,,
18,2,Research & Development,41270,,,
19,1,Sales,24380,,,
20,1,Research & Development,68700,,,
21,2,Research & Development,104470,,,
22,1,Sales,96670,,,
23,2,Research & Development,21480,,,
24,1,Research & Development,89260,,,
25,1,Research & Development,65130,,,
26,1,Research & Development,67990,,,
27,1,Research & Development,162910,,,
28,1,Sales,27050,,,
29,2,Research & Development,103330,,,
30,1,Sales,44480,,,
31,3,Research & Development,68540,,,
32,1,Research & Development,96370,,,
33,2,Research & Development,35910,,,
34,3,Sales,54050,,,
35,1,Research & Development,46840,,,
36,2,Research & Development,157870,,,
37,1,Sales,15140,,,
38,3,Sales,29560,,,
39,1,Research & Development,23350,,,
40,1,Sales,51540,,,
41,3,Research & Development,69620,,,
42,2,Research & Development,56750,,,
43,1,Research & Development,23790,,,
44,1,Sales,38120,,,
45,1,Research & Development,46480,,,
46,1,Research & Development,29360,,,
47,2,Sales,21050,,,
48,1,Research & Development,85780,,,
49,2,Sales,27060,,,
50,3,Research & Development,63840,,,
51,2,Research & Development,39680,,,
52,3,Research & Development,99070,,,
53,2,Sales,132250,,,
54,1,Research & Development,35400,,,
55,2,Sales,28040,,,
56,4,Research & Development,193920,,,
57,1,Sales,196650,,,
58,4,Research & Development,24390,,,
59,3,Research & Development,73140,,,
60,2,Research & Development,47740,,,
61,3,Research & Development,39020,,,
62,3,Research & Development,26620,,,
63,4,Research & Development,28560,,,
64,2,Sales,10810,,,
65,2,Research & Development,24720,,,
66,1,Research & Development,56730,,,
67,4,Research & Development,41970,,,
68,1,Research & Development,97130,,,
69,1,Research & Development,20620,,,
70,1,Research & Development,42840,,,
71,4,Sales,47880,,,
72,2,Research & Development,59060,,,
73,5,Research & Development,38860,,,
74,1,Research & Development,168230,,,
75,2,Research & Development,29330,,,
76,2,Research & Development,65000,,,
77,1,Sales,171740,,,
78,4,Research & Development,50330,,,
79,1,Research & Development,23070,,,
80,3,Human Resources,25870,,,
81,2,Research & Development,55070,,,
82,1,Research & Development,43930,,,
83,2,Sales,133480,,,
84,1,Research & Development,65830,,,
85,3,Research & Development,81030,,,
86,3,Research & Development,39780,,,
87,3,Sales,25440,,,
88,1,Research & Development,53990,,,
89,1,Research & Development,54870,,,
90,2,Sales,68340,,,
91,1,Research & Development,10910,,,
92,2,Sales,57360,,,
93,3,Sales,22260,,,
94,2,Research & Development,57470,,,
95,4,Sales,98540,,,
96,2,Research & Development,54670,,,
97,1,Sales,53800,,,
98,5,Sales,51510,,,
99,1,Sales,21330,,,
100,4,Research & Development,178750,,,
101,2,Human Resources,24320,,,
102,2,Research & Development,47710,,,
103,5,Research & Development,191610,,,
104,2,Research & Development,50870,,,
105,2,Research & Development,28630,,,
106,5,Human Resources,55610,,,
107,4,Research & Development,21440,,,
108,2,Sales,30650,,,
109,1,Research & Development,28100,,,
110,3,Research & Development,98880,,,
111,1,Research & Development,86280,,,
112,4,Research & Development,28670,,,
113,1,Human Resources,53730,,,
114,2,Research & Development,66670,,,
115,3,Research & Development,50030,,,
116,1,Sales,23670,,,
117,3,Research & Development,28580,,,
118,2,Sales,52040,,,
119,1,Research & Development,41050,,,
120,1,Sales,96790,,,
121,1,Research & Development,56170,,,
122,1,Sales,104480,,,
